"Component","Test title","Pre-condition","Test steps","Expected Result"
"OOBE / Permissions","First-time Permission - Nearby Devices","App is newly installed. SV95 nearby.","1. Launch the App for the first time.
2. Observe the 'Nearby Devices' permission request.
3. Select 'Allow'.","App correctly asks for permission and starts scanning after user allows."
"OOBE / Permissions","Denying Permissions handling","App is newly installed.","1. Launch the App.
2. Deny 'Nearby Devices' and 'Location' permissions.
3. Navigate to the scan screen.","App shows a clear message and a button to redirect user to system settings."
"Home - Connection","SV95 BLE Discovery (DFU logic)","SV95 is in advertising mode.","1. Go to 'Add Device' screen.
2. Wait for scanning to complete.","SV95 is discovered and listed. DFU check no longer blocks discovery."
"Home - Connection","Automatic RTC Sync on connect","SV95 just established connection.","1. Connect the SV95 device.
2. Inspect the device timestamp or system logs.","App automatically sends 'Set RTC' command to sync clock."
"Home - Connection","Auto-Init Schedule Settings","New SV95 with empty schedule.","1. Connect SV95.
2. App receives null/default schedule info (1970).","App automatically calls 'Set Schedule' (2s Sampling / 2m Interval / 3y Duration)."
"Home - Connection","Reconnect to previously added SV95","SV95 was previously paired.","1. Turn off SV95 and wait for 'Disconnected'.
2. Turn SV95 back on.","App re-establishes connection automatically within 10 seconds."
"Home - Connection","Multiple SV95 Devices Discovery","Multiple SV95s are nearby.","1. Navigate to 'Available devices' screen.
2. Observe the device list.","Each SV95 is listed separately with its unique Serial Number and Product Image."
"Home - Device Card","OA Value Display (X/Y/Z)","SV95 is connected and streaming.","1. Look at the SV95 card on Home screen.
2. Compare values with the physical sensor if possible.","Card displays Overall Acceleration for X, Y, and Z axes correctly."
"Home - Device Card","Temperature Value Display","SV95 is connected.","1. Look at the SV95 card.
2. Locate the temperature reading.","Temperature value is displayed clearly next to the vibration data."
"Home - Device Card","Card Value Color Alert (Yellow/Alert)","Vibration Alert threshold is exceeded.","1. Observe the text color of the OA value on the card.","Value turns YELLOW to indicate an Alert state."
"Home - Device Card","Card Value Color Alert (Red/Danger)","Vibration Danger threshold is exceeded.","1. Observe the text color of the OA value on the card.","Value turns RED to indicate a Danger state."
"Home - Device Card","Card Layout in List View","Multiple devices added (SV95 and others).","1. Observe the Home screen device list.","SV95 card layout is consistent with other METERLiNK devices but shows specific OA/Temp fields."
"Device Detail","Trend Card Visualization","Vibration data logs exist.","1. Enter SV95 Device Detail screen.
2. Verify the 'Report' button is removed.
3. Observe the Trend Card.","Report button is gone; Trend Card shows historical vibration/temp plots correctly."
"Device Detail","Double Y-Axis Chart","Live/Trend data streaming.","1. View the chart in Device Detail.","Chart supports two Y-axes to show Vibration (mm/s) and Temperature (C) at once."
"Device Detail","Full-screen Chart Toggle","Detail page is open.","1. Tap the 'Full-screen' icon on the Trend/Live card.","Chart expands to fill the entire screen and supports landscape orientation."
"Device Detail","Chart Interaction - Marker Drag","Detail page is open.","1. Tap on any data point on the chart.
2. Drag the marker along the timeline.","A vertical marker follows the finger and displays exact value/timestamp."
"Device Detail","Trend Data Filtering (Time/Date)","Historical data exists.","1. Open the filter menu in Trend Card.
2. Select a specific date range.","Trend chart updates to show only the selected data segment."
"Device Detail","Trend Data Filtering (Value Range)","Historical data exists.","1. Open the filter menu.
2. Set a minimum vibration value threshold.","Trend chart filters out all data points below the threshold."
"Device Detail - Alarm","ISO 10816 Group Selection (Large)","SV95 connected.","1. Navigate to Alarm Settings.
2. Select 'Group 1: Large Machines'.","Thresholds are updated to match ISO 10816 standards for large machines."
