Component,Test title,Requirement / Jira,Pre-condition,Test steps,Expected Result,,
System,Google API Level 36 Target,FM-1301,App build environment.,"1. Inspect build.gradle or Manifest.
2. Verify targetSdkVersion.",targetSdkVersion is set to 36.,,
Protocol,METERLiNK Protocol V4.2.15 Support,FM-1304,SV95 connected.,"1. Capture BLE traffic during data exchange.
2. Verify packet headers and structure.",Communication adheres to Protocol V4.2.15 specifications.,,
Connection,SV95 Discovery (DFU check removal),FM-1305,SV95 in advertising mode.,"1. Launch App and Scan for devices.
2. Observe if SV95 appears.",SV95 is discovered. Verification ensures DFU check logic no longer blocks SV95.,,
Home Card,Home Card OA (X/Y/Z) Display,FM-1306,SV95 connected.,"1. Observe SV95 Home Card.
2. Compare values with hardware display.","Card displays Overall Acceleration for X, Y and Z axes correctly.",,
Home Card,Home Card Temperature Display,FM-1306,SV95 connected.,"1. Observe SV95 Home Card.
2. Observe the temperature field.",Temperature reading is displayed next to vibration data.,,
Home Card,Home Card Value Color Alert,FM-1306,Alarm thresholds set (Alert/Danger).,"1. Trigger a high vibration/temp reading.
2. Observe value color.",Values change color based on thresholds (e.g. Yellow for Alert  Red for Danger).,,
Device Detail,Trend Card Visualization (Report Replacement),FM-1307,SV95 in detail view.,"1. Verify the absence of the 'Report' button.
2. Observe the new Trend Card.",Report button is removed; Trend Card displays historical data plots.,,
Device Detail,Historical Data Filtering,FM-1309,Logs exist in trend card.,"1. Apply time/date filters.
2. Apply value filters.",Trend chart updates to show only filtered data segments.,,
Device Detail,Double Y-Axis Chart Support,FM-1310,SV95 in detail view.,1. View the live/trend chart.,Chart displays two Y-axes to accommodate vibration and temperature units simultaneously.,,
Device Detail,Full-screen Chart Marker,FM-1311,Chart is interactive.,"1. Tap and hold on a chart data point.
2. Drag across the timeline.",A marker appears showing the exact value and timestamp for the selected point.,,
Alert Settings,ISO 10816 Group Selection (L/M/S),FM-1313,SV95 connected.,"1. Open Alarm Settings.
2. Select Large, Medium, or Small machine group.",Thresholds are updated according to the selected ISO 10816 category.,,
Alert Settings,Manual Alarm Threshold Input,FM-1313,SV95 connected.,"1. Manually enter Alert and Danger limits.
2. Save settings.",Limits are saved and applied to Home Card colors and Notifications.,,
Files,Recording List Access,FM-1315,SV95 connected.,"1. Navigate to 'FILES' tab.
2. Verify 'Gallery' button is hidden.
3. Tap 'Recording List'.",Gallery button is hidden for SV95; Recording List is accessible.,,
Files,Recording File Download,FM-1316,Logs on device.,"1. Select log from list.
2. Tap 'Download'.",File is downloaded and accessible for viewing within the App.,,
More Page,Unit Switching: OA (mm/s ↔ inch/s),FM-1317,In More page.,"1. Switch OA unit.
2. Check Home Card and Chart.",Values and labels convert correctly; Alert thresholds are scaled.,,
More Page,Unit Switching: Temp (°C ↔ °F),FM-1318,In More page.,"1. Switch Temp unit.
2. Check Home Card and Chart.",Temperature values and labels convert correctly.,,
More Page,Temp Unit Switch - Alarm Clear Logic,FM-1318,Existing Temp Alarms set.,"1. Switch Temperature unit (°C to °F or vice-versa).
2. Check Alarm settings.",All existing Temperature Alarm settings are cleared (App standard logic).,,
More Page,Wi-Fi/MQTT/Schedule Sub-pages,FM-1319,In More page.,"1. Verify entry points for Wi-Fi, MQTT, and Schedule.",Sub-pages are accessible and display current device settings.,,
Connection,RTC Time Sync after connection,FM-1320,Just connected.,"1. Connect SV95.
2. Verify device clock sync.",App sends 'Set RTC' command immediately upon connection.,,
Connection,Fetch Info on Connection,FM-1321,Just connected.,"1. Connect SV95.
2. Monitor BLE commands.",App automatically sends 'Get Wi-Fi'  'Get MQTT'  and 'Get Schedule' info.,,
Connection,Auto-Init Schedule Settings,FM-1323,Schedule info is empty (1970).,"1. Connect new SV95.
2. App detects null/empty schedule.",App calls 'Set Schedule' with default: 2s Sampling  2m Interval  3 years duration.,,
Settings,Apply Wi-Fi Settings from Existing,FM-1335,Two SV95s available.,"1. Tap 'Apply Wi-Fi settings from existing device'.
2. Select source device.",Wi-Fi SSID and Password are copied to the target SV95.,,
Settings,Apply MQTT Settings from Existing,FM-1336,Two SV95s available.,"1. Tap 'Apply MQTT settings from existing device'.
2. Select source device.",MQTT Broker Port  and Topic settings are copied to the target SV95.,,
System,Dark Mode Compatibility,FM-1339,System Dark Mode enabled.,"1. Switch OS to Dark Mode.
2. Navigate through App.",All SV95-specific screens adhere to Dark Mode theme (contrast/readability).,,
System,Tablet Layout Compatibility,FM-1340,Running on Tablet.,"1. Launch App on Tablet.
2. Verify layout and Dark Mode.",App is functional on Tablet; UI elements are properly scaled.,,
More Page,Refresh Info on Page Enter,FM-1341,Enter More page.,"1. Navigate to More page.
2. Observe UI/BLE refresh.",App re-sends 'Get Info' commands (Wi-Fi/MQTT/Sched) every time More page is entered.,,
Notifications,Push Notification for Alarm,FM-1342,App in background.,"1. Trigger Alarm (Alert or Danger).
2. Observe system notification.","Notification format: ""%Device% measurement %val% is higher than [alert|danger] value %limit%"".",,
System,CVE & Security Fixes,FM-1337/1338,App security scan.,"1. Verify dependency versions.
2. Check for Sign Key integrity.",App passes security compliance and uses the correct signing key.,,
Connection,Schedule Settings Persistence,FM-1323,Settings modified.,"1. Change Sampling to 5s.
2. Reboot SV95 and reconnect.",Modified schedule settings persist on the device hardware.,,
Device Detail,Marker Drag Performance,FM-1311,High-density chart.,1. Drag chart marker rapidly.,Marker remains responsive and updates values without lag.,,
Device Detail,Chart Full-screen Toggle,FM-1308,SV95 in detail view.,1. Tap 'Full-screen' icon on chart.,Chart expands to fill screen; landscape orientation is supported.,,
Alert Settings,ISO 10816 Threshold Scaling,FM-1313/1317,OA unit changed.,"1. Change OA unit (mm/s to inch/s).
2. Check ISO thresholds.",ISO thresholds (e.g. 2.8 mm/s) are correctly converted to inch/s.,,
More Page,MQTT Connection Status Indicator,FM-1319,MQTT configured.,"1. View MQTT page.
2. Observe status.",App displays whether the SV95 is successfully connected to the MQTT broker.,,
Connection,Connection Sequence Failure Recovery,FM-1320/1321,RTC or Info fetch fails.,"1. Simulate BLE error during RTC sync.
2. Observe App behavior.",App attempts to retry the connection sequence or shows a clear error state.,,
System,App Launch Speed (SDK 36),FM-1301,Android 15+ device.,1. Measure cold start time.,App launches within performance guidelines on API Level 36.,,
